DateTime,PM2_5,Humi,Temp
2018-12-11 20:00,18,-1.0,0.0
2018-12-11 21:00,21,1.0,0.0
2018-12-11 22:00,31,1.0,0.0
2018-12-11 23:00,33,-1.0,0.0
2018-12-12 11:00,39,0.0,-1.0
2018-12-12 12:00,38,0.0,-1.0
2018-12-12 13:00,33,-1.0,0.0
2018-12-12 14:00,33,-1.0,1.0
2018-12-12 15:00,34,2.0,-1.0
2018-12-12 16:00,35,1.0,0.0
2018-12-12 17:00,35,0.0,0.0
2018-12-12 18:00,38,1.0,0.0
2018-12-12 19:00,43,1.0,0.0
2018-12-12 20:00,36,-3.0,0.0
2018-12-12 21:00,31,-1.0,0.0
2018-12-12 22:00,27,0.0,0.0
2018-12-12 23:00,28,0.0,0.0
2018-12-13 00:00,36,-2.0,1.0
2018-12-13 01:00,36,0.0,0.0
2018-12-13 02:00,29,-3.0,0.0
2018-12-13 03:00,26,0.0,0.0
2018-12-13 04:00,31,1.0,0.0
2018-12-13 05:00,33,-1.0,0.0
2018-12-13 06:00,38,0.0,0.0
2018-12-13 07:00,31,1.0,-1.0
2018-12-13 08:00,26,-2.0,0.0
2018-12-13 09:00,22,-2.0,1.0
2018-12-13 10:00,20,-1.0,0.0
2018-12-13 11:00,19,0.0,0.0
2018-12-13 12:00,23,0.0,0.0
2018-12-13 13:00,22,-1.0,1.0
2018-12-13 14:00,22,-1.0,0.0
2018-12-13 15:00,25,1.0,0.0
2018-12-13 16:00,29,1.0,0.0
2018-12-13 17:00,36,1.0,0.0
2018-12-13 18:00,41,-2.0,0.0
2018-12-13 19:00,41,0.0,0.0
2018-12-13 20:00,42,1.0,0.0
2018-12-13 21:00,45,-1.0,0.0
2018-12-13 22:00,44,0.0,0.0
2018-12-13 23:00,47,2.0,0.0
2018-12-14 00:00,49,-1.0,-1.0
2018-12-14 01:00,49,0.0,0.0
2018-12-14 02:00,46,0.0,0.0
2018-12-14 03:00,52,2.0,0.0
2018-12-14 04:00,46,-1.0,0.0
2018-12-14 05:00,41,0.0,0.0
2018-12-14 06:00,42,1.0,0.0
2018-12-14 07:00,42,0.0,0.0
2018-12-14 08:00,43,-1.0,1.0
2018-12-14 09:00,37,-1.0,0.0
2018-12-14 10:00,36,-1.0,1.0
2018-12-14 11:00,33,0.0,0.0
2018-12-14 12:00,35,0.0,0.0
2018-12-14 13:00,35,0.0,1.0
2018-12-14 14:00,39,1.0,0.0
2018-12-14 15:00,40,0.0,0.0
2018-12-14 16:00,40,1.0,0.0
2018-12-14 17:00,42,3.0,0.0
2018-12-14 18:00,62,2.0,0.0
2018-12-14 19:00,47,-4.0,0.0
2018-12-14 20:00,51,-1.0,0.0
2018-12-14 21:00,52,0.0,-1.0
2018-12-14 22:00,43,0.0,0.0
2018-12-14 23:00,42,-1.0,0.0
2018-12-15 00:00,44,0.0,0.0
2018-12-15 01:00,43,0.0,0.0
